subject_new	subject_old	new_used	old_used
87	108	Y	Y
93	114	Y	Y
95	116		
97	118		
92	124		
103	125	Y	Y
104	126		
105	127		
106	128	Y	Y
107	129	Y	Y
108	130		
112	134		
113	135	Y	Y
115	137	Y	Y
116	138	Y	Y
118	140	Y	Y
120	142	Y	Y
121	143		
122	144	Y	Y
124	146	Y	Y
125	147	Y	Y
126	148	Y	Y
127	149	Y	Y
128	150	Y	Y
129	151		
130	152		
131	153	Y	Y
132	154	Y	Y
133	155	Y	Y
135	157	Y	Y
136	158	Y	Y
138	161	Y	Y
139	162	Y	Y
141	164	Y	Y
145	168	Y	Y
146	169	Y	Y
147	171	Y	Y
148	172	Y	Y
149	173	Y	Y
150	174	Y	Y
151	175	Y	Y
152	176	Y	Y
153	177	Y	Y
155	179		
156	180	Y	Y
157	181	Y	Y
158	182	Y	Y
160	184		
161	185	Y	Y
162	186	Y	Y
163	187	Y	Y
162	192		
152	195		Y
168	196	Y	Y
	220		
